0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:58 +0200] "POST /Team11JSF/faces/pages/user/user-create.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:58 +0200] "GET /Team11JSF/faces/pages/news/news-view.xhtml HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:05 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:11 +0200] "POST /Team11JSF/faces/pages/user/user-create.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:12 +0200] "GET /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 8887
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:12 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:18 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:18 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:18 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:18 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:19 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:19 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:19 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:19 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:22 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:24 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:25 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:33 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 5276
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:57 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:57 +0200] "GET /Team11JSF/faces/pages/news/news-view.xhtml HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:29:59 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:30:01 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:30:01 +0200] "GET /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 8909
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:30:01 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
